"filename", "language", "Python", "Batch", "PowerShell", "Properties", "C", "JSON", "reStructuredText", "YAML", "Markdown", "JavaScript", "HTML", "comment", "blank", "total"
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\jinja2\visitor.py", "Python", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 93
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\markdown_it\__init__.py", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\markdown_it\_compat.py", "Python", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\markdown_it\_punycode.py", "Python", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 15, 68
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\markdown_it\cli\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\markdown_it\cli\parse.py", "Python", 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22, 110
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\markdown_it\common\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\markdown_it\common\entities.py", "Python", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\markdown_it\common\html_blocks.py", "Python", 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 69
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\markdown_it\common\html_re.py", "Python", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 41
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\markdown_it\common\normalize_url.py", "Python", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 23, 82
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\markdown_it\common\utils.py", "Python", 190, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 75, 319
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\markdown_it\helpers\__init__.py", "Python", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\markdown_it\helpers\parse_link_destination.py", "Python", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21, 87
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\markdown_it\helpers\parse_link_label.py", "Python", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 44
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\markdown_it\helpers\parse_link_title.py", "Python", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15, 61
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\markdown_it\main.py", "Python", 275, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 76, 356
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\markdown_it\parser_block.py", "Python", 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 21, 112
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\markdown_it\parser_core.py", "Python", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 46
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\markdown_it\parser_inline.py", "Python", 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 21, 148
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\markdown_it\port.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 1, 49
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\markdown_it\presets\__init__.py", "Python", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 29
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\markdown_it\presets\commonmark.py", "Python", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 5, 75
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\markdown_it\presets\default.py", "Python", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 3, 36
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\markdown_it\presets\zero.py", "Python", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 3, 44
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\markdown_it\renderer.py", "Python", 243, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 70, 337
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\markdown_it\ruler.py", "Python", 228, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 43, 277
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\markdown_it\rules_block\__init__.py", "Python", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 28
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\markdown_it\rules_block\blockquote.py", "Python", 174, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 62, 300
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\markdown_it\rules_block\code.py", "Python", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 36
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\markdown_it\rules_block\fence.py", "Python", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 31, 102
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\markdown_it\rules_block\heading.py", "Python", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20, 69
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\markdown_it\rules_block\hr.py", "Python", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17, 56
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\markdown_it\rules_block\html_block.py", "Python", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 21, 91
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\markdown_it\rules_block\lheading.py", "Python", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 24, 87
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\markdown_it\rules_block\list.py", "Python", 199, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 78, 346
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\markdown_it\rules_block\paragraph.py", "Python", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19, 66
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\markdown_it\rules_block\reference.py", "Python", 154, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 38, 216
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\markdown_it\rules_block\state_block.py", "Python", 193, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 43, 262
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\markdown_it\rules_block\table.py", "Python", 162, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 55, 237
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\markdown_it\rules_core\__init__.py", "Python", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20
"c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\markdown_it\rules_core\block.py", "Python", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
